judge_model_id,packet_id,run_index,blind_id,model_id,evidential_support,quote_attribution_fidelity,voice_context_preservation,negative_case_preservation,analytic_contract_fit,codebook_usability,interpretive_usefulness,parsimony,overall_quality,serious_error_count,serious_error_flags,disposition,confidence,rationale
gpt-5.5,syn_kodis_01,3,B2,gpt-5.6-sol,5,5,5,5,5,5,5,5,5,0,,accept,5,"Best overall: concise but nuanced, especially in treating KO_E10 as possible resistance to duplicate evidence and KO_E12 as exit from direct talk rather than total dispute failure."
gpt-5.5,syn_kodis_01,3,B3,gpt-5.6-terra,4,5,4,4,4,4,4,5,4,0,,accept,4,"Usable, exact, and bounded, with good distinction between accommodation and platform appeal. It is somewhat less specific about KO_E11 as a rigid evidentiary demand and offers fewer boundary conditions than stronger candidates."
gpt-5.5,syn_kodis_01,3,B4,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,5,"Very strong coverage of evidence practices, interpretation repair, conditional timeline, and mutually blocking conditions. It preserves KO_E12 as non-repair and stays within interactional claims."
gpt-5.5,syn_kodis_01,3,B5,gpt-5.6-luna,4,5,4,3,4,4,3,5,4,0,,accept,4,"Clean and accurate but thinner than the others, with only brief negative cases and less explicit preservation of reciprocal responsibility and boundary conditions. Still within contract and quote-faithful."
gpt-5.6-sol,syn_agyw_01,1,B1,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,5,"Exact, source-linked evidence supports a clear resource-and-time account, targeted supports, explicit uneven continuity, and careful treatment of the adult view and moderator clarification."
gpt-5.6-sol,syn_agyw_01,1,B2,gpt-5.4,5,5,4,4,4,5,5,3,4,0,,accept,4,"Strong coverage of structural tradeoffs, privacy, uneven support, and disagreement, though four partly overlapping themes and some use of the moderator question as thematic evidence reduce parsimony and contextual precision."
gpt-5.6-sol,syn_agyw_01,1,B3,gpt-5.6-sol,5,5,5,5,5,5,5,5,5,0,,accept,5,"A precise and economical analysis distinguishes material and temporal access, privacy-conditioned routes, and the localized disagreement while explicitly preserving the exceptional continuity case and moderator uncertainty."
gpt-5.6-sol,syn_agyw_01,1,B4,gpt-5.6-terra,4,5,4,4,4,5,4,5,4,0,,accept,4,"The concise codebook and themes are well grounded and preserve variation, but the disagreement theme is thinly evidenced beyond its single-group exchange and some counterevidence is only loosely countervailing."
gpt-5.6-sol,syn_agyw_01,1,B5,gpt-5.6-luna,4,5,4,5,4,4,4,5,4,0,,accept,4,"Accurate and compact, with all priority negative cases retained, but two broad themes compress distinct digital, privacy, support, and interactional processes and provide comparatively sparse theme evidence."
gpt-5.6-sol,syn_agyw_01,2,B1,gpt-5.6-sol,5,5,5,5,5,4,5,5,5,0,,accept,5,"The two themes efficiently synthesize resource and time constraints with relational rerouting, and the negative cases explicitly preserve adult disagreement, exceptional continuity, and moderator uncertainty."
gpt-5.6-sol,syn_agyw_01,2,B2,gpt-5.4,5,5,4,4,4,5,5,4,4,0,,accept,4,"Rich, usable distinctions capture structural tradeoffs, tailored supports, and privacy, but the moderator question is used as evidence rather than only a clarification and is not retained among the explicit negative cases."
gpt-5.6-sol,syn_agyw_01,2,B3,gpt-5.6-luna,3,5,3,3,3,2,3,5,3,1,inconsistent_codebook,revise,5,"Although concise and exactly quoted, one catch-all code conflates practical support, adult blame, participant rebuttal, and moderator clarification; the themes omit the central disagreement and even classify peer substitution as counterevidence to support."
gpt-5.6-sol,syn_agyw_01,2,B4,gpt-5.5,4,5,4,4,4,4,4,5,4,0,,accept,4,"A clear and economical account preserves structural constraints, privacy, support, adult disagreement, and near-normal continuity, though its two broad themes flatten some differences between schooling and health-information access."
gpt-5.6-sol,syn_agyw_01,2,B5,gpt-5.6-terra,4,5,4,4,4,4,4,5,4,0,,accept,4,"Accurate and bounded with a workable codebook, but sparse theme evidence and broad merging of support and privacy leave digital access, the contested adult explanation, and translated clarification less analytically developed."
gpt-5.6-sol,syn_agyw_01,3,B1,gpt-5.6-terra,4,5,4,4,4,4,4,5,4,0,,accept,4,"Concise themes correctly cover access constraints, alternate support channels, and the direct adult-participant contest, but evidence is comparatively sparse and privacy and translated-metaphor uncertainty remain underdeveloped."
gpt-5.6-sol,syn_agyw_01,3,B2,gpt-5.6-sol,5,5,5,5,5,4,4,5,5,0,,accept,5,"Well-bounded themes distinguish usable access from nominal availability and relational rerouting, while explicit negative cases retain the adult view, exceptional continuity, and moderator clarification; the broad code categories modestly limit granularity."
gpt-5.6-sol,syn_agyw_01,3,B3,gpt-5.6-luna,3,2,3,2,2,2,3,5,2,1,wrong_attribution,reject,5,"Multiple systematic source errors assign AG_E08, AG_E09, and AG_E10 to the wrong focus groups, including the priority continuity negative case; the concise synthesis cannot pass the non-negotiable attribution gate."
gpt-5.6-sol,syn_agyw_01,3,B4,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,5,"The analysis offers exact evidence, a highly usable codebook, separate schooling and health-access themes, localized interactional disagreement, and explicit safeguards around continuity, translation, and moderator status."
gpt-5.6-sol,syn_agyw_01,3,B5,gpt-5.4,5,5,5,4,5,5,5,4,5,0,,accept,5,"Strong themes preserve structural constraints, social visibility, and uneven workarounds with exact evidence and careful boundaries; the moderator clarification appears only in the memo rather than among explicit negative cases."
gpt-5.6-sol,syn_candor_01,1,B1,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,5,"Exact evidence and source links support a comprehensive sequential account of inquiry, support-mode negotiation, cue repair, and connection-preserving boundaries; counterreadings are explicit and claims remain bounded."
gpt-5.6-sol,syn_candor_01,1,B2,gpt-5.6-sol,5,5,5,5,5,4,5,5,5,0,,accept,5,"A concise, well-supported analysis preserves advice timing, mixed laughter meanings, direct refusal with affiliation, and uncertainty; a few code applications stretch meaning-clarification toward general mismatch repair."
gpt-5.6-sol,syn_candor_01,1,B3,gpt-5.6-terra,4,5,4,4,3,4,4,4,3,1,hidden_source_concentration,revise,5,"Most coding is clear and context-sensitive, but the advice-redirection theme is supported only by Conversation 02 while Conversation 01 appears in source_ids solely through counterevidence, violating the cross-source evidence rule."
gpt-5.6-sol,syn_candor_01,1,B4,gpt-5.4,5,5,5,5,5,5,5,4,5,0,,accept,5,"Strong sequential themes distinguish response format from intent, preserve ambiguity and avoidance, and show how bounded sharing or refusal can sustain connection, with exact evidence and useful limitations."
gpt-5.6-sol,syn_candor_01,1,B5,gpt-5.6-luna,4,5,5,5,5,4,4,5,4,0,,accept,5,"The two-theme synthesis is highly economical and preserves both priority negative cases, cue ambiguity, and advice timing, though its evidence and interpretive development are thinner than the leading candidates."
gpt-5.6-sol,syn_candor_01,2,B1,gpt-5.6-luna,4,5,4,4,3,3,4,5,3,1,inconsistent_codebook,revise,5,"The themes are concise and well bounded, but code applications conflict with their rules: CA_E01 is labeled as a connection-preserving boundary and CA_E03 as a partner inquiry despite neither meeting those definitions."
gpt-5.6-sol,syn_candor_01,2,B2,gpt-5.6-terra,4,5,5,4,5,4,4,5,4,0,,accept,5,"Exact evidence supports a clean two-theme account of negotiated support and cue repair, with appropriately local claims; negative cases and interpretive development are somewhat sparse."
gpt-5.6-sol,syn_candor_01,2,B3,gpt-5.4,5,5,5,4,5,5,5,4,5,0,,accept,5,"Rich but bounded sequential analysis captures support fit, cue reinterpretation, and movement from indirectness to clearer limits while retaining practical care as an alternative reading."
gpt-5.6-sol,syn_candor_01,2,B4,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,5,"The most complete account in this run links questions, ambiguity repair, and connection-preserving boundaries across conversations, uses exact evidence, and explicitly limits advice and trait inferences."
gpt-5.6-sol,syn_candor_01,2,B5,gpt-5.6-sol,5,5,5,4,5,5,4,5,4,0,,accept,5,"A precise and parsimonious two-theme analysis preserves mixed meanings and sequence, but gives less thematic attention to affiliation coexisting with refusal than the leading outputs."
gpt-5.6-sol,syn_candor_01,3,B1,gpt-5.6-sol,5,5,5,5,5,4,5,5,5,0,,accept,5,"A concise, well-evidenced account preserves supportive intent alongside timing mismatch, the dual meaning of laughter, revised silence, and locally negotiated boundaries; one safe-sharing code application is slightly broader than its rule."
gpt-5.6-sol,syn_candor_01,3,B2,gpt-5.6-luna,4,5,4,5,5,4,4,5,4,0,,accept,5,"The compact analysis captures the core sequential repairs and both priority negative cases without overclaiming, but its brief definitions, warrants, and boundary conditions limit analytic depth."
gpt-5.6-sol,syn_candor_01,3,B3,gpt-5.6-terra,3,5,5,4,3,5,4,4,3,1,hidden_source_concentration,revise,5,"The codebook and most themes are useful, but the questions-and-response-needs theme has supporting evidence only from Conversation 01 while Conversation 02 enters its source list through counterevidence, failing the cross-source support requirement."
gpt-5.6-sol,syn_candor_01,3,B4,gpt-5.4,5,5,5,4,5,5,5,4,5,0,,accept,5,"A nuanced, exact-evidence analysis distinguishes positivity from locally useful support, preserves context-dependent cue meanings, and explains how explicit limits maintain connection without trait inference."
gpt-5.6-sol,syn_candor_01,3,B5,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,5,"The strongest coverage combines a coherent codebook with well-supported themes on negotiated support, cue repair, and connection-preserving boundaries, retaining both supportive alternatives and designed boundary cases."
gpt-5.6-sol,syn_dreaddit_01,1,B1,gpt-5.6-luna,5,5,4,4,5,4,4,5,4,0,,accept,4,"Exact evidence, bounded claims, complete assignments, and economical themes preserve partial relief and temporal change; the broad mixed-state code and limited standalone treatment of the manageable-move case slightly reduce analytic precision."
gpt-5.6-sol,syn_dreaddit_01,1,B2,gpt-5.5,5,5,5,5,5,3,5,4,4,1,inconsistent_codebook,revise,5,"The themes are richly warranted and retain material pressure, bounded support, resolution, and mixed affect, but C03 is assigned to DR_E06 and DR_E09 despite its rule requiring bodily or sleep effects, making those assignments inconsistent with the codebook."
gpt-5.6-sol,syn_dreaddit_01,1,B3,gpt-5.6-sol,5,5,5,4,5,4,5,5,4,0,,accept,4,"A concise, well-supported analysis preserves structural pressures, embodied and attentional effects, graded relief, and explicit resolution without diagnosis; merging partial respite and full resolution in C06 makes the code less discriminating, though themes restore the distinction."
gpt-5.6-sol,syn_dreaddit_01,1,B4,gpt-5.4,5,5,4,5,4,3,5,3,4,1,inconsistent_codebook,revise,5,"Four useful themes strongly preserve heterogeneity and ambivalence, but C03 is applied to sleep loss and attention depletion despite being defined as persistent vigilance, and C07 is applied to DR_E09 although that excerpt juxtaposes two burdens rather than positive and negative valence."
gpt-5.6-sol,syn_dreaddit_01,1,B5,gpt-5.6-terra,5,5,5,5,5,5,5,5,5,0,,accept,5,"The codebook cleanly separates material pressure, bodily alertness, bounded relief, and full resolution; three compact themes preserve all priority boundary cases and mixed valence with exact, cross-source evidence and no unwarranted generalization."
gpt-5.6-sol,syn_dreaddit_01,2,B1,gpt-5.6-sol,4,5,4,4,5,3,4,5,4,1,inconsistent_codebook,revise,5,"The two-theme account is bounded, exact, and attentive to partial versus complete shifts, but C03 sustained alertness is assigned to DR_E09 on the basis of counting and emotional heaviness without the bodily, sleep, or persistent-attention evidence required by its rule."
gpt-5.6-sol,syn_dreaddit_01,2,B2,gpt-5.4,5,5,5,5,5,5,5,4,5,0,,accept,5,"The seven-code scheme is internally coherent and analytically useful, especially its separation of material insecurity, partial support, vigilance, closure, and help-seeking burden; themes preserve non-crisis, manageability, and resolution with appropriately bounded warrants."
gpt-5.6-sol,syn_dreaddit_01,2,B3,gpt-5.5,5,5,4,4,5,4,4,5,4,0,,accept,4,"The analysis is concise and well grounded, keeps structural demands separate from coping, and explicitly preserves current non-crisis and resolved cases; treating help-seeking itself as practical or social support stretches C04's definition slightly but is made transparent in its inclusion rule and rationale."
gpt-5.6-sol,syn_dreaddit_01,2,B4,gpt-5.6-terra,4,5,4,4,5,3,3,5,3,1,inconsistent_codebook,revise,5,"The output is valid, bounded, and exact, but C01 requires competing or accumulating demands and is nevertheless assigned to the single elevator burden in DR_E10 and the single move in DR_E11; the two themes are also less interpretively developed than stronger candidates."
gpt-5.6-sol,syn_dreaddit_01,2,B5,gpt-5.6-luna,4,5,4,4,5,4,3,5,4,0,,accept,4,"This highly parsimonious output preserves material pressure, embodied load, mixed affect, non-crisis, and resolution with exact evidence, but its compressed definitions and warrants offer less analytic discrimination and its treatment of DR_E09 as attentional load is only weakly supported."
gpt-5.6-sol,syn_dreaddit_01,3,B1,gpt-5.5,4,5,5,5,5,3,5,4,4,1,inconsistent_codebook,revise,5,"The themes are nuanced, bounded, and attentive to structural pressure, partial relief, temporal change, and ambivalence, but C03 embodied vigilance is assigned to DR_E09 without bodily, sleep, or alertness language, and C05 frames the writer's boundary as relief provided by others."
gpt-5.6-sol,syn_dreaddit_01,3,B2,gpt-5.4,5,5,5,5,5,5,5,4,5,0,,accept,5,"A coherent seven-code analysis preserves material and logistical pressure, bodily vigilance, bounded support, help-seeking burden, temporal resolution, and manageable demands; three well-supported themes maintain source voice and explicit limits without diagnostic inference."
gpt-5.6-sol,syn_dreaddit_01,3,B3,gpt-5.6-luna,4,5,4,4,5,3,3,5,3,1,inconsistent_codebook,revise,5,"The compact analysis covers all excerpts and preserves non-crisis and resolution, but C03 requires explicit bodily or vigilance language and is assigned to DR_E09's worry and help-seeking heaviness; terse code rules and themes also limit reuse and interpretive depth."
gpt-5.6-sol,syn_dreaddit_01,3,B4,gpt-5.6-terra,5,5,5,5,5,5,4,5,5,0,,accept,5,"The codebook is clean and consistently applied, and three economical themes preserve structural constraint, embodied response, partial support, mixed appraisal, manageability, non-crisis, and full resolution; interpretive development is slightly thinner than B2 but fully warranted."
gpt-5.6-sol,syn_dreaddit_01,3,B5,gpt-5.6-sol,4,5,5,5,5,3,4,5,4,1,inconsistent_codebook,revise,5,"The two themes strongly preserve structural pressure, resource limits, mixed experience, and temporal boundaries, but C03 attention capture is applied to DR_E09 without explicit attention language and C01 competing demands is applied to DR_E11's single move despite its exclusion rule."
gpt-5.6-sol,syn_kodis_01,1,B1,gpt-5.6-luna,4,5,4,4,4,4,4,5,4,0,,accept,4,"A concise, sequence-aware account captures verification, wording repair, bounded next steps, and the appeal-ending impasse; the first theme claims three repair dialogues but supplies direct thematic evidence from only two."
gpt-5.6-sol,syn_kodis_01,1,B2,gpt-5.6-terra,5,5,5,4,5,5,5,5,5,0,,accept,5,"Clear operational codes and three well-bounded themes preserve sequential uptake, distinguish productive from blocking verification, and avoid adjudicating roles or unseen outcomes."
gpt-5.6-sol,syn_kodis_01,1,B3,gpt-5.6-sol,5,5,5,5,5,5,5,5,5,0,,accept,5,"The strongest synthesis links evidence, clarification, reciprocal accommodation, and direct-channel impasse while explicitly preserving duplicated-evidence ambiguity and appeal as a possible continuing route."
gpt-5.6-sol,syn_kodis_01,1,B4,gpt-5.4,4,2,5,4,3,5,5,4,3,1,fabricated_or_altered_quote,revise,5,"The analysis is otherwise rich and interactionally careful, but T04 cites the noncontiguous and wrongly located phrase 'giving a date' as a quote from KO_E05, violating the exact-evidence rule."
gpt-5.6-sol,syn_kodis_01,1,B5,gpt-5.5,5,5,5,4,4,4,5,4,4,1,inconsistent_codebook,revise,5,"Themes and boundaries are strong, but C06 is defined as negotiated convergence and excludes unilateral demands while KO_E01 is assigned to it before any uptake, creating a consequential local inconsistency."
gpt-5.6-sol,syn_kodis_01,2,B1,gpt-5.6-luna,3,5,4,3,3,3,3,5,3,1,inconsistent_codebook,revise,5,"The compact repair-versus-impasse account is directionally sound, but KO_E04 is assigned to Demand impasse even though it reports delay and perceived dismissal rather than refusal, repetition, blockage, or exit under that code's own rule."
gpt-5.6-sol,syn_kodis_01,2,B2,gpt-5.6-terra,4,5,5,4,4,5,4,5,4,0,,accept,4,"A clean, usable analysis preserves tone reinterpretation and local impasse boundaries, though its claim about all first three repair dialogues is illustrated directly only with evidence from dialogues two and three."
gpt-5.6-sol,syn_kodis_01,2,B3,gpt-5.6-sol,5,5,5,5,5,5,5,5,5,0,,accept,5,"Excellent sequential analysis: recognition, evidence, and reciprocal uptake are integrated without equating proposed repair with completed resolution, and repeated proof is explicitly treated as context-dependent."
gpt-5.6-sol,syn_kodis_01,2,B4,gpt-5.5,5,5,5,5,5,5,5,5,5,0,,accept,5,"The distinct verification, wording-accountability, conditional-acceptance, and impasse codes are consistently applied, with both sides of the final standoff preserved and policy correctness left unresolved."
gpt-5.6-sol,syn_kodis_01,2,B5,gpt-5.4,5,5,5,5,5,5,5,4,5,0,,accept,5,"Comprehensive evidence and careful boundaries show why verification can either enable repair or become a gate, while treating acknowledgment as a conversational reset rather than an inferred trait."
gpt-5.6-sol,syn_kodis_01,3,B1,gpt-5.4,4,5,5,4,4,4,4,4,4,0,,accept,4,"A sound process account differentiates workable verification from mutually blocking demands and handles tone locally, though its merged refusal-and-escalation code and selective repair evidence reduce analytic precision."
gpt-5.6-sol,syn_kodis_01,3,B2,gpt-5.6-sol,5,5,5,5,5,5,5,5,5,0,,accept,5,"The most nuanced and economical account preserves reciprocal uptake, distinguishes direct-channel impasse from final failure, and explicitly resists flattening duplicate-evidence refusal into simple noncooperation."
gpt-5.6-sol,syn_kodis_01,3,B3,gpt-5.6-terra,3,5,4,3,3,4,3,5,3,0,,revise,4,"The main trajectory is correct and evidence is exact, but KO_E04 is left uncoded despite its relevant account of perceived wording, the first-three-dialogue claim lacks direct theme evidence from dialogue three, and negative-case treatment is comparatively thin."
gpt-5.6-sol,syn_kodis_01,3,B4,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,5,"Strongly grounded themes separate evidentiary action, repair of prior-turn meaning, and mutually blocking conditions, while countercases and the reflexive memo preserve both parties' plausible readings."
gpt-5.6-sol,syn_kodis_01,3,B5,gpt-5.6-luna,3,5,4,4,4,4,3,5,4,0,,accept,4,"Schema-complete and admirably concise with the central repair and impasse contrast intact, but broad codes, brief boundaries, and direct evidence from only two of the three claimed repair dialogues limit interpretive usefulness."
