dataset,metric_id,metric_profile_id,metric_condition_id,applicability,definition_variant,evaluation_reference,label_count,positive_label,denominator_basis,phase_method_restriction,prerequisite_or_reason,implementation_status
parlamint_gb,sample_f1,P-CODING-v1,P-CODING-v1/sample_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
dreaddit,hamming_loss,D-STRESS-v1,D-STRESS-v1/hamming_loss/dataset-metric-conditions-v1,not_applicable,not_applicable,released_stress_labels,2,stress=1,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
goemotions,hamming_loss,G-EMOTION28-v1,G-EMOTION28-v1/hamming_loss/dataset-metric-conditions-v1,applicable,multilabel_emotion__hamming_loss,released_emotion_label_sets,28,,100 items x 28 labels,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,hamming_loss,C-CODING-v1,C-CODING-v1/hamming_loss/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
parlamint_gb,hamming_loss,P-CODING-v1,P-CODING-v1/hamming_loss/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
dreaddit,sample_jaccard,D-STRESS-v1,D-STRESS-v1/sample_jaccard/dataset-metric-conditions-v1,not_applicable,not_applicable,released_stress_labels,2,stress=1,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
goemotions,sample_jaccard,G-EMOTION28-v1,G-EMOTION28-v1/sample_jaccard/dataset-metric-conditions-v1,applicable,multilabel_emotion__sample_jaccard,released_emotion_label_sets,28,,"Mean 100 * |predicted intersection GT| / |predicted union GT|; empty union convention 1, though valid GT is nonempty.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,sample_jaccard,C-CODING-v1,C-CODING-v1/sample_jaccard/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
parlamint_gb,sample_jaccard,P-CODING-v1,P-CODING-v1/sample_jaccard/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
dreaddit,cardinality,D-STRESS-v1,D-STRESS-v1/cardinality/dataset-metric-conditions-v1,not_applicable,not_applicable,released_stress_labels,2,stress=1,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
goemotions,cardinality,G-EMOTION28-v1,G-EMOTION28-v1/cardinality/dataset-metric-conditions-v1,applicable,multilabel_emotion__cardinality,released_emotion_label_sets,28,,"Mean labels per item for predictions and GT, plus signed and absolute differences.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,cardinality,C-CODING-v1,C-CODING-v1/cardinality/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
parlamint_gb,cardinality,P-CODING-v1,P-CODING-v1/cardinality/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
dreaddit,empty_neutral_conflict,D-STRESS-v1,D-STRESS-v1/empty_neutral_conflict/dataset-metric-conditions-v1,not_applicable,not_applicable,released_stress_labels,2,stress=1,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
goemotions,empty_neutral_conflict,G-EMOTION28-v1,G-EMOTION28-v1/empty_neutral_conflict/dataset-metric-conditions-v1,applicable,multilabel_emotion__empty_neutral_conflict,released_emotion_label_sets,28,,Separate rates for empty label sets and neutral combined with another emotion. Flag as invalid under the frozen schema.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,empty_neutral_conflict,C-CODING-v1,C-CODING-v1/empty_neutral_conflict/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
parlamint_gb,empty_neutral_conflict,P-CODING-v1,P-CODING-v1/empty_neutral_conflict/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
dreaddit,roc_auc,D-STRESS-v1,D-STRESS-v1/roc_auc/dataset-metric-conditions-v1,conditional,binary_stress__roc_auc,released_stress_labels,2,stress=1,"Dreaddit positive-class AUC; GoEmotions per-label, micro, and macro AUC. Skip undefined single-class labels, list them and the averaging denominator.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
goemotions,roc_auc,G-EMOTION28-v1,G-EMOTION28-v1/roc_auc/dataset-metric-conditions-v1,conditional,multilabel_emotion__roc_auc,released_emotion_label_sets,28,,"Dreaddit positive-class AUC; GoEmotions per-label, micro, and macro AUC. Skip undefined single-class labels, list them and the averaging denominator.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
cache,roc_auc,C-CODING-v1,C-CODING-v1/roc_auc/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,roc_auc,P-CODING-v1,P-CODING-v1/roc_auc/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,average_precision,D-STRESS-v1,D-STRESS-v1/average_precision/dataset-metric-conditions-v1,conditional,binary_stress__average_precision,released_stress_labels,2,stress=1,Dreaddit positive-class AP; GoEmotions micro/macro/per-label AP. Report undefined/no-positive labels and valid averaging denominator; do not call trapezoidal PR-AUC AP.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
goemotions,average_precision,G-EMOTION28-v1,G-EMOTION28-v1/average_precision/dataset-metric-conditions-v1,conditional,multilabel_emotion__average_precision,released_emotion_label_sets,28,,Dreaddit positive-class AP; GoEmotions micro/macro/per-label AP. Report undefined/no-positive labels and valid averaging denominator; do not call trapezoidal PR-AUC AP.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
cache,average_precision,C-CODING-v1,C-CODING-v1/average_precision/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,average_precision,P-CODING-v1,P-CODING-v1/average_precision/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,brier,D-STRESS-v1,D-STRESS-v1/brier/dataset-metric-conditions-v1,conditional,binary_positive_probability__brier,released_stress_labels,2,stress=1,Dreaddit mean (p_stress-y)^2; GoEmotions mean over all N*28 squared marginal probability errors.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
goemotions,brier,G-EMOTION28-v1,G-EMOTION28-v1/brier/dataset-metric-conditions-v1,conditional,multilabel_marginal_probability__brier,released_emotion_label_sets,28,,Dreaddit mean (p_stress-y)^2; GoEmotions mean over all N*28 squared marginal probability errors.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
cache,brier,C-CODING-v1,C-CODING-v1/brier/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,brier,P-CODING-v1,P-CODING-v1/brier/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,log_loss,D-STRESS-v1,D-STRESS-v1/log_loss/dataset-metric-conditions-v1,conditional,binary_positive_probability__log_loss,released_stress_labels,2,stress=1,Dreaddit binary NLL; GoEmotions mean binary cross-entropy over N*28. Clip probabilities at 1e-7; record clipping.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
goemotions,log_loss,G-EMOTION28-v1,G-EMOTION28-v1/log_loss/dataset-metric-conditions-v1,conditional,multilabel_marginal_probability__log_loss,released_emotion_label_sets,28,,Dreaddit binary NLL; GoEmotions mean binary cross-entropy over N*28. Clip probabilities at 1e-7; record clipping.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
cache,log_loss,C-CODING-v1,C-CODING-v1/log_loss/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,log_loss,P-CODING-v1,P-CODING-v1/log_loss/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,ece,D-STRESS-v1,D-STRESS-v1/ece/dataset-metric-conditions-v1,conditional,binary_positive_probability__ece,released_stress_labels,2,stress=1,"Ten equal-width bins over [0,1]. Binary positive-probability ECE or pooled multi-label-bit ECE; save bin N, mean predicted probability and positive frequency.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
goemotions,ece,G-EMOTION28-v1,G-EMOTION28-v1/ece/dataset-metric-conditions-v1,conditional,multilabel_marginal_probability__ece,released_emotion_label_sets,28,,"Ten equal-width bins over [0,1]. Binary positive-probability ECE or pooled multi-label-bit ECE; save bin N, mean predicted probability and positive frequency.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
cache,ece,C-CODING-v1,C-CODING-v1/ece/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,ece,P-CODING-v1,P-CODING-v1/ece/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,lrap,D-STRESS-v1,D-STRESS-v1/lrap/dataset-metric-conditions-v1,not_applicable,not_applicable,released_stress_labels,2,stress=1,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
goemotions,lrap,G-EMOTION28-v1,G-EMOTION28-v1/lrap/dataset-metric-conditions-v1,conditional,multilabel_emotion__lrap,released_emotion_label_sets,28,,GoEmotions only: use complete marginal score vector and GT label matrix.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
cache,lrap,C-CODING-v1,C-CODING-v1/lrap/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
parlamint_gb,lrap,P-CODING-v1,P-CODING-v1/lrap/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
dreaddit,ranking_loss,D-STRESS-v1,D-STRESS-v1/ranking_loss/dataset-metric-conditions-v1,not_applicable,not_applicable,released_stress_labels,2,stress=1,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
goemotions,ranking_loss,G-EMOTION28-v1,G-EMOTION28-v1/ranking_loss/dataset-metric-conditions-v1,conditional,multilabel_emotion__ranking_loss,released_emotion_label_sets,28,,GoEmotions only: fraction of incorrectly ordered relevant/irrelevant label pairs under pinned sklearn convention.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
cache,ranking_loss,C-CODING-v1,C-CODING-v1/ranking_loss/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
parlamint_gb,ranking_loss,P-CODING-v1,P-CODING-v1/ranking_loss/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
dreaddit,coverage_error,D-STRESS-v1,D-STRESS-v1/coverage_error/dataset-metric-conditions-v1,not_applicable,not_applicable,released_stress_labels,2,stress=1,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
goemotions,coverage_error,G-EMOTION28-v1,G-EMOTION28-v1/coverage_error/dataset-metric-conditions-v1,conditional,multilabel_emotion__coverage_error,released_emotion_label_sets,28,,GoEmotions only: average depth required to cover all true labels in score ranking; not prediction coverage.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
cache,coverage_error,C-CODING-v1,C-CODING-v1/coverage_error/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
parlamint_gb,coverage_error,P-CODING-v1,P-CODING-v1/coverage_error/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
dreaddit,risk_coverage,D-STRESS-v1,D-STRESS-v1/risk_coverage/dataset-metric-conditions-v1,conditional,binary_stress__risk_coverage,released_stress_labels,2,stress=1,Order items by predeclared confidence in exact answer correctness; plot full-panel exact-error rate among retained items. Confidence construction must be calibrated on development data.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
goemotions,risk_coverage,G-EMOTION28-v1,G-EMOTION28-v1/risk_coverage/dataset-metric-conditions-v1,conditional,multilabel_emotion__risk_coverage,released_emotion_label_sets,28,,Order items by predeclared confidence in exact answer correctness; plot full-panel exact-error rate among retained items. Confidence construction must be calibrated on development data.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
cache,risk_coverage,C-CODING-v1,C-CODING-v1/risk_coverage/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,risk_coverage,P-CODING-v1,P-CODING-v1/risk_coverage/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,reliability_bins,D-STRESS-v1,D-STRESS-v1/reliability_bins/dataset-metric-conditions-v1,conditional,binary_stress__reliability_bins,released_stress_labels,2,stress=1,"Per-bin counts, mean probabilities, observed frequencies; export machine-readable bin records.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
goemotions,reliability_bins,G-EMOTION28-v1,G-EMOTION28-v1/reliability_bins/dataset-metric-conditions-v1,conditional,multilabel_emotion__reliability_bins,released_emotion_label_sets,28,,"Per-bin counts, mean probabilities, observed frequencies; export machine-readable bin records.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires frozen comparable probabilities/ranking scores; hard labels and verbal confidence are insufficient.,specified_not_yet_validated_for_server
cache,reliability_bins,C-CODING-v1,C-CODING-v1/reliability_bins/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,reliability_bins,P-CODING-v1,P-CODING-v1/reliability_bins/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,conformability,D-STRESS-v1,D-STRESS-v1/conformability/dataset-metric-conditions-v1,applicable,v2_source_grounding__binary_stress,released_stress_labels,2,stress=1,passes/resolved with resolved/100; full-panel missing bounds required,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,conformability,G-EMOTION28-v1,G-EMOTION28-v1/conformability/dataset-metric-conditions-v1,applicable,v2_source_grounding__multilabel_emotion,released_emotion_label_sets,28,,passes/resolved with resolved/100; full-panel missing bounds required,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,conformability,C-CODING-v1,C-CODING-v1/conformability/dataset-metric-conditions-v1,applicable,v2_source_grounding__source_grounded_thematic_coding,none,,,passes/resolved with resolved/100; full-panel missing bounds required,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,conformability,P-CODING-v1,P-CODING-v1/conformability/dataset-metric-conditions-v1,applicable,v2_source_grounding__source_grounded_thematic_coding,none,,,passes/resolved with resolved/100; full-panel missing bounds required,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,factual_support,D-STRESS-v1,D-STRESS-v1/factual_support/dataset-metric-conditions-v1,applicable,binary_stress__factual_support,released_stress_labels,2,stress=1,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,factual_support,G-EMOTION28-v1,G-EMOTION28-v1/factual_support/dataset-metric-conditions-v1,applicable,multilabel_emotion__factual_support,released_emotion_label_sets,28,,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,factual_support,C-CODING-v1,C-CODING-v1/factual_support/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__factual_support,none,,,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,factual_support,P-CODING-v1,P-CODING-v1/factual_support/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__factual_support,none,,,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,evidence_relevance,D-STRESS-v1,D-STRESS-v1/evidence_relevance/dataset-metric-conditions-v1,applicable,binary_stress__evidence_relevance,released_stress_labels,2,stress=1,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,evidence_relevance,G-EMOTION28-v1,G-EMOTION28-v1/evidence_relevance/dataset-metric-conditions-v1,applicable,multilabel_emotion__evidence_relevance,released_emotion_label_sets,28,,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,evidence_relevance,C-CODING-v1,C-CODING-v1/evidence_relevance/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__evidence_relevance,none,,,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,evidence_relevance,P-CODING-v1,P-CODING-v1/evidence_relevance/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__evidence_relevance,none,,,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,attribution,D-STRESS-v1,D-STRESS-v1/attribution/dataset-metric-conditions-v1,applicable,binary_stress__attribution,released_stress_labels,2,stress=1,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,attribution,G-EMOTION28-v1,G-EMOTION28-v1/attribution/dataset-metric-conditions-v1,applicable,multilabel_emotion__attribution,released_emotion_label_sets,28,,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,attribution,C-CODING-v1,C-CODING-v1/attribution/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__attribution,none,,,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,attribution,P-CODING-v1,P-CODING-v1/attribution/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__attribution,none,,,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,unsupported_assertions,D-STRESS-v1,D-STRESS-v1/unsupported_assertions/dataset-metric-conditions-v1,applicable,binary_stress__unsupported_assertions,released_stress_labels,2,stress=1,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,unsupported_assertions,G-EMOTION28-v1,G-EMOTION28-v1/unsupported_assertions/dataset-metric-conditions-v1,applicable,multilabel_emotion__unsupported_assertions,released_emotion_label_sets,28,,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,unsupported_assertions,C-CODING-v1,C-CODING-v1/unsupported_assertions/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__unsupported_assertions,none,,,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
parlamint_gb,unsupported_assertions,P-CODING-v1,P-CODING-v1/unsupported_assertions/dataset-metric-conditions-v1,applicable,source_grounded_thematic_coding__unsupported_assertions,none,,,"Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
dreaddit,claim_support,D-STRESS-v1,D-STRESS-v1/claim_support/dataset-metric-conditions-v1,conditional,binary_stress__claim_support,released_stress_labels,2,stress=1,Supported atomic claims / all adjudicated atomic claims; show number of claims and extraction version. Empty answers do not earn a perfect score.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Additional frozen claim decomposition and claim-level annotations,specified_not_yet_validated_for_server
goemotions,claim_support,G-EMOTION28-v1,G-EMOTION28-v1/claim_support/dataset-metric-conditions-v1,conditional,multilabel_emotion__claim_support,released_emotion_label_sets,28,,Supported atomic claims / all adjudicated atomic claims; show number of claims and extraction version. Empty answers do not earn a perfect score.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Additional frozen claim decomposition and claim-level annotations,specified_not_yet_validated_for_server
cache,claim_support,C-CODING-v1,C-CODING-v1/claim_support/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__claim_support,none,,,Supported atomic claims / all adjudicated atomic claims; show number of claims and extraction version. Empty answers do not earn a perfect score.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Additional frozen claim decomposition and claim-level annotations,specified_not_yet_validated_for_server
parlamint_gb,claim_support,P-CODING-v1,P-CODING-v1/claim_support/dataset-metric-conditions-v1,conditional,source_grounded_thematic_coding__claim_support,none,,,Supported atomic claims / all adjudicated atomic claims; show number of claims and extraction version. Empty answers do not earn a perfect score.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Additional frozen claim decomposition and claim-level annotations,specified_not_yet_validated_for_server
